Time_Window,Direction,Incidents_With_Maintenance,Percentage,Avg_Maintenance_Count
1 day before,Before,1716,22.716441620333597,8.204395022504633
3 days before,Before,2082,27.561556791104053,15.030447445062219
7 days before,Before,2206,29.203071220545407,29.024887476833467
14 days before,Before,2364,31.294678316123907,53.496293354514165
30 days before,Before,2567,33.98199629335451,110.18255229017738
60 days before,Before,2796,37.013502779984115,213.05109875562616
90 days before,Before,2884,38.178448504103784,315.1662695260789
1 day after,After,1679,22.226634895419643,7.652634365898861
3 days after,After,2075,27.468890653958166,14.33068572941488
7 days after,After,2208,29.229547259729944,29.301429706115965
14 days after,After,2349,31.09610802223987,54.26502515223723
30 days after,After,2624,34.736563410113845,109.21154355308445
60 days after,After,2927,38.74768334657136,210.90137675403759
90 days after,After,3123,41.34233518665608,312.9172623775483
